strategy_module,strategy_name,params,symbol
src.momentum,signalMomentum,"{""rank_period"": 75.0, ""mom_window"": 20.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 75.0, ""mom_window"": 30.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 75.0, ""mom_window"": 40.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 75.0, ""mom_window"": 50.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 75.0, ""mom_window"": 60.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 75.0, ""mom_window"": 70.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 85.0, ""mom_window"": 20.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 85.0, ""mom_window"": 30.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 85.0, ""mom_window"": 40.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
src.momentum,signalMomentum,"{""rank_period"": 85.0, ""mom_window"": 50.0}","{""FX"": [""EURUSD"", ""USDJPY"", ""NZDJPY"", ""NOKSEK"", ""GBPJPY"", ""CADJPY"", ""CADCHF"", ""AUDNZD"", ""AUDJPY"", ""AUDCAD"", ""USDSEK"", ""USDNOK"", ""EURCHF"", ""USDCHF"", ""USDCAD"", ""NZDUSD"", ""GBPUSD"", ""AUDUSD"", ""USDSGD"", ""USDTHB"", ""GBPCAD"", ""EURCAD"", ""EURJPY"", ""EURGBP"", ""GBPCHF"", ""USDINR"", ""USDIDR"", ""USDTWD"", ""USDKRW""]}"
