date,field1,field2,field3,field4
2010-05-06 00:00:00+00:00,121.37,121.38,116.6,117.47
2010-05-07 00:00:00+00:00,117.47,118.7,110.7,116.81
2010-05-10 00:00:00+00:00,118,122.29,118,119.47
2010-05-11 00:00:00+00:00,119.47,119.58,116.91,118.6
2010-05-12 00:00:00+00:00,118.6,118.69,116.57,117.89
2010-05-13 00:00:00+00:00,117.89,118.72,116.3,116.74
2010-05-14 00:00:00+00:00,116.74,117.01,113.52,114.38
2010-05-17 00:00:00+00:00,114.28,114.91,112.46,113.51
2010-05-18 00:00:00+00:00,113.51,115.49,113.45,114.14
2010-05-19 00:00:00+00:00,114.13,114.22,110.86,112.95
2010-05-20 00:00:00+00:00,112.95,114.13,109.52,110.31
2010-05-21 00:00:00+00:00,110.31,114.41,110.28,113.13
2010-05-24 00:00:00+00:00,112.9,114.09,111.24,112.33
2010-05-25 00:00:00+00:00,112.33,112.36,108.84,110.43
2010-05-26 00:00:00+00:00,110.43,111.98,109.89,110.36
2010-05-27 00:00:00+00:00,110.36,112.36,109.21,112.1
2010-05-28 00:00:00+00:00,112.1,113.69,111.36,111.77
2010-05-31 00:00:00+00:00,111.74,112.93,111.36,112.03
2010-06-01 00:00:00+00:00,112.03,112.85,109.77,111.88
2010-06-02 00:00:00+00:00,111.88,112.95,110.99,112.91
2010-06-03 00:00:00+00:00,112.91,114.15,112.13,112.44
2010-06-04 00:00:00+00:00,112.44,113.37,109.41,109.98
2010-06-07 00:00:00+00:00,109.99,110.31,108.08,109.9
2010-06-08 00:00:00+00:00,109.9,110.12,108.34,109.37
2010-06-09 00:00:00+00:00,109.37,110.6,108.62,110.01
2010-06-10 00:00:00+00:00,110.01,110.79,108.98,110.04
2010-06-11 00:00:00+00:00,110.04,111.39,109.9,111
2010-06-14 00:00:00+00:00,110.94,112.87,110.78,112.44
2010-06-15 00:00:00+00:00,112.44,112.77,110.87,112.68
2010-06-16 00:00:00+00:00,112.68,113.32,111.73,112.54
2010-06-17 00:00:00+00:00,112.54,113.19,111.65,112.14
2010-06-18 00:00:00+00:00,112.13,112.81,111.93,112.4
2010-06-21 00:00:00+00:00,111.52,113.42,111.49,112.34
2010-06-22 00:00:00+00:00,112.35,112.47,111.06,111.46
2010-06-23 00:00:00+00:00,111.46,111.57,109.9,110.48
2010-06-24 00:00:00+00:00,110.48,111.14,109.54,110.31
2010-06-25 00:00:00+00:00,110.31,110.89,109.59,110.41
2010-06-28 00:00:00+00:00,110.36,110.82,109.6,109.96
2010-06-29 00:00:00+00:00,109.96,109.96,107.32,108.15
2010-06-30 00:00:00+00:00,108.15,109.13,107.69,108.57
2010-07-01 00:00:00+00:00,108.57,109.23,107.5,108.93
2010-07-02 00:00:00+00:00,108.93,110.72,108.93,110.27
2010-07-05 00:00:00+00:00,109.96,110.43,109.71,109.95
2010-07-06 00:00:00+00:00,109.95,110.85,109.15,110.51
2010-07-07 00:00:00+00:00,110.51,110.69,109.32,109.95
2010-07-08 00:00:00+00:00,109.95,112.51,109.93,111.87
2010-07-09 00:00:00+00:00,111.87,112.67,111.54,112.01
2010-07-12 00:00:00+00:00,111.89,112.39,111.14,111.43
