,H15T1M Index,H15T3M Index,H15T6M Index,H15T1Y Index,H15T2Y Index,H15T3Y Index,H15T5Y Index,H15T7Y Index,H15T10Y Index,H15T20Y Index,H15T30Y Index
2014/12/9,0.05,0.04,0.11,0.23,0.64,1.07,1.63,1.97,2.22,2.58,2.87
2014/12/10,0.05,0.03,0.1,0.21,0.59,1.01,1.58,1.92,2.18,2.54,2.83
2014/12/11,0.02,0.03,0.09,0.21,0.62,1.05,1.62,1.96,2.19,2.54,2.84
2014/12/12,0.02,0.02,0.09,0.19,0.56,0.98,1.53,1.86,2.1,2.45,2.75
2014/12/15,0.02,0.04,0.11,0.22,0.6,1.03,1.58,1.9,2.12,2.45,2.74
2014/12/16,0.03,0.03,0.11,0.21,0.58,0.99,1.53,1.85,2.07,2.4,2.69
2014/12/17,0.03,0.03,0.11,0.23,0.62,1.06,1.61,1.93,2.14,2.46,2.74
2014/12/18,0.04,0.04,0.12,0.25,0.67,1.1,1.68,2.01,2.22,2.54,2.82
2014/12/19,0.01,0.04,0.11,0.26,0.67,1.1,1.66,1.98,2.17,2.48,2.77
2014/12/22,0.01,0.05,0.16,0.28,0.71,1.13,1.67,1.98,2.17,2.47,2.75
2014/12/23,0.02,0.03,0.14,0.26,0.73,1.17,1.76,2.06,2.26,2.57,2.85
2014/12/24,0.01,0.01,0.14,0.26,0.73,1.18,1.76,2.09,2.27,2.56,2.83
2014/12/25,0.01,0.01,0.14,0.26,0.73,1.18,1.76,2.09,2.27,2.56,2.83
2014/12/26,0.01,0.01,0.1,0.26,0.73,1.19,1.75,2.07,2.25,2.54,2.81
2014/12/29,0.01,0.03,0.12,0.25,0.72,1.14,1.72,2.02,2.22,2.51,2.78
2014/12/30,0.03,0.03,0.12,0.23,0.69,1.11,1.68,2,2.2,2.49,2.76
2014/12/31,0.03,0.04,0.12,0.25,0.67,1.1,1.65,1.97,2.17,2.47,2.75
2015/1/1,0.03,0.04,0.12,0.25,0.67,1.1,1.65,1.97,2.17,2.47,2.75
2015/1/2,0.02,0.02,0.11,0.25,0.66,1.07,1.61,1.92,2.12,2.41,2.69
2015/1/5,0.02,0.03,0.1,0.26,0.68,1.06,1.57,1.85,2.04,2.32,2.6
2015/1/6,0.02,0.03,0.1,0.25,0.65,1.02,1.5,1.78,1.97,2.25,2.52
2015/1/7,0.02,0.03,0.09,0.25,0.62,1,1.47,1.76,1.96,2.25,2.52
2015/1/8,0.01,0.03,0.08,0.23,0.62,1,1.5,1.81,2.03,2.33,2.59
2015/1/9,0.02,0.02,0.08,0.22,0.59,0.96,1.45,1.75,1.98,2.29,2.55
2015/1/12,0.02,0.03,0.09,0.19,0.56,0.91,1.39,1.69,1.92,2.23,2.49
2015/1/13,0.02,0.03,0.08,0.2,0.54,0.88,1.37,1.67,1.91,2.24,2.49
2015/1/14,0.02,0.04,0.09,0.18,0.51,0.83,1.33,1.62,1.86,2.2,2.47
2015/1/15,0.03,0.03,0.08,0.16,0.44,0.75,1.22,1.53,1.77,2.12,2.4
2015/1/16,0.02,0.03,0.07,0.17,0.49,0.8,1.29,1.6,1.83,2.17,2.44
2015/1/19,0.02,0.03,0.07,0.17,0.49,0.8,1.29,1.6,1.83,2.17,2.44
2015/1/20,0.01,0.03,0.08,0.17,0.53,0.85,1.31,1.61,1.82,2.15,2.39
2015/1/21,0.01,0.03,0.08,0.17,0.53,0.87,1.35,1.66,1.87,2.2,2.44
2015/1/22,0.02,0.03,0.08,0.17,0.53,0.9,1.39,1.69,1.9,2.21,2.46
2015/1/23,0.02,0.02,0.07,0.17,0.52,0.86,1.33,1.62,1.81,2.12,2.38
2015/1/26,0.02,0.03,0.08,0.18,0.54,0.89,1.36,1.64,1.83,2.14,2.4
2015/1/27,0.02,0.02,0.08,0.17,0.54,0.87,1.34,1.62,1.83,2.15,2.4
2015/1/28,0.02,0.02,0.08,0.17,0.5,0.81,1.25,1.53,1.73,2.05,2.29
2015/1/29,0.01,0.03,0.07,0.17,0.51,0.84,1.28,1.59,1.77,2.11,2.33
2015/1/30,0.01,0.02,0.07,0.18,0.47,0.77,1.18,1.49,1.68,2.04,2.25
2015/2/2,0.01,0.02,0.07,0.17,0.49,0.78,1.19,1.49,1.68,2.07,2.25
2015/2/3,0.02,0.02,0.07,0.21,0.52,0.85,1.28,1.6,1.79,2.16,2.37
2015/2/4,0.01,0.01,0.06,0.2,0.52,0.86,1.29,1.61,1.81,2.17,2.39
2015/2/5,0.02,0.02,0.06,0.2,0.52,0.87,1.3,1.62,1.83,2.2,2.42
2015/2/6,0.01,0.02,0.07,0.26,0.65,1.03,1.48,1.77,1.95,2.28,2.51
2015/2/9,0.02,0.01,0.08,0.24,0.65,1.04,1.49,1.78,1.96,2.28,2.52
2015/2/10,0.02,0.01,0.08,0.25,0.67,1.05,1.52,1.82,2.01,2.33,2.58
2015/2/11,0.02,0.01,0.07,0.24,0.67,1.06,1.53,1.83,2,2.33,2.57
2015/2/12,0.02,0.02,0.07,0.23,0.61,1.02,1.5,1.81,1.99,2.33,2.58
2015/2/13,0.02,0.01,0.07,0.23,0.66,1.03,1.53,1.84,2.02,2.39,2.63
2015/2/16,0.02,0.01,0.07,0.23,0.66,1.03,1.53,1.84,2.02,2.39,2.63
2015/2/17,0.02,0.02,0.07,0.25,0.7,1.1,1.62,1.95,2.14,2.49,2.73
2015/2/18,0.02,0.02,0.07,0.23,0.62,1,1.52,1.86,2.07,2.46,2.7
2015/2/19,0.02,0.02,0.07,0.23,0.67,1.05,1.58,1.92,2.11,2.5,2.73
2015/2/20,0.02,0.02,0.07,0.23,0.67,1.07,1.61,1.94,2.13,2.5,2.73
2015/2/23,0.01,0.02,0.08,0.22,0.64,1.03,1.56,1.88,2.06,2.44,2.66
2015/2/24,0.02,0.02,0.08,0.22,0.6,0.97,1.47,1.79,1.99,2.38,2.6
2015/2/25,0.02,0.02,0.07,0.21,0.61,0.98,1.47,1.78,1.96,2.35,2.56
2015/2/26,0.02,0.03,0.07,0.22,0.66,1.04,1.54,1.86,2.03,2.39,2.63
2015/2/27,0.02,0.02,0.07,0.22,0.63,1.01,1.5,1.82,2,2.38,2.6
2015/3/2,0.02,0.02,0.08,0.22,0.66,1.06,1.57,1.89,2.08,2.46,2.68
2015/3/3,0.01,0.02,0.08,0.26,0.68,1.09,1.61,1.94,2.12,2.49,2.71
2015/3/4,0.01,0.01,0.08,0.26,0.66,1.07,1.6,1.93,2.12,2.49,2.72
2015/3/5,0.02,0.02,0.08,0.25,0.65,1.05,1.57,1.9,2.11,2.49,2.71
2015/3/6,0.02,0.01,0.08,0.27,0.73,1.16,1.7,2.04,2.24,2.63,2.83
2015/3/9,0.01,0.02,0.1,0.27,0.7,1.13,1.66,1.99,2.2,2.58,2.8
2015/3/10,0.03,0.02,0.1,0.25,0.7,1.1,1.62,1.94,2.14,2.51,2.73
2015/3/11,0.03,0.03,0.1,0.25,0.7,1.09,1.6,1.92,2.11,2.47,2.69
2015/3/12,0.03,0.03,0.1,0.24,0.67,1.06,1.59,1.91,2.1,2.47,2.69
2015/3/13,0.03,0.03,0.11,0.24,0.68,1.07,1.6,1.93,2.13,2.48,2.7
2015/3/16,0.02,0.05,0.15,0.26,0.66,1.06,1.57,1.9,2.1,2.45,2.67
2015/3/17,0.05,0.05,0.15,0.27,0.7,1.07,1.56,1.87,2.06,2.4,2.61
2015/3/18,0.02,0.03,0.12,0.23,0.57,0.92,1.41,1.73,1.93,2.31,2.51
2015/3/19,0.02,0.03,0.12,0.26,0.63,0.99,1.48,1.79,1.98,2.33,2.54
2015/3/20,0,0.01,0.11,0.24,0.6,0.95,1.42,1.73,1.93,2.29,2.5
2015/3/23,0.02,0.03,0.11,0.24,0.6,0.93,1.41,1.71,1.92,2.29,2.51
2015/3/24,0.03,0.02,0.11,0.24,0.58,0.91,1.37,1.68,1.88,2.24,2.46
2015/3/25,0.02,0.04,0.11,0.25,0.59,0.94,1.41,1.73,1.93,2.28,2.5
2015/3/26,0.02,0.03,0.13,0.28,0.61,0.98,1.47,1.81,2.01,2.37,2.6
2015/3/27,0.02,0.04,0.12,0.27,0.58,0.92,1.42,1.74,1.95,2.29,2.53
2015/3/30,0.02,0.04,0.14,0.27,0.58,0.93,1.41,1.74,1.96,2.32,2.55
2015/3/31,0.05,0.03,0.14,0.26,0.56,0.89,1.37,1.71,1.94,2.31,2.54
2015/4/1,0.02,0.03,0.12,0.27,0.55,0.86,1.32,1.65,1.87,2.23,2.47
2015/4/2,0.02,0.02,0.1,0.25,0.55,0.87,1.35,1.69,1.92,2.29,2.53
2015/4/3,0.04,0.02,0.1,0.21,0.49,0.8,1.26,1.6,1.85,2.24,2.49
2015/4/6,0.02,0.03,0.1,0.21,0.51,0.83,1.31,1.67,1.92,2.31,2.57
2015/4/7,0.02,0.02,0.1,0.22,0.52,0.85,1.32,1.66,1.89,2.27,2.52
2015/4/8,0.02,0.03,0.1,0.22,0.54,0.86,1.35,1.68,1.92,2.28,2.53
2015/4/9,0.02,0.03,0.1,0.22,0.56,0.89,1.4,1.73,1.97,2.35,2.61
2015/4/10,0.01,0.02,0.09,0.24,0.57,0.91,1.41,1.73,1.96,2.33,2.58
2015/4/13,0.02,0.03,0.11,0.23,0.54,0.89,1.38,1.71,1.94,2.33,2.58
2015/4/14,0.02,0.02,0.1,0.23,0.53,0.85,1.34,1.67,1.9,2.29,2.54
2015/4/15,0.02,0.02,0.08,0.23,0.51,0.85,1.33,1.66,1.91,2.3,2.55
2015/4/16,0.03,0.02,0.08,0.22,0.5,0.81,1.31,1.64,1.9,2.31,2.56
2015/4/17,0.03,0.01,0.08,0.23,0.51,0.84,1.31,1.63,1.87,2.26,2.51
2015/4/20,0.03,0.03,0.1,0.24,0.55,0.86,1.33,1.65,1.9,2.31,2.56
2015/4/21,0.02,0.03,0.09,0.23,0.55,0.86,1.35,1.67,1.92,2.33,2.58
2015/4/22,0.01,0.03,0.1,0.23,0.57,0.91,1.41,1.75,1.99,2.42,2.66
2015/4/23,0.01,0.03,0.09,0.24,0.55,0.87,1.37,1.7,1.96,2.38,2.63
2015/4/24,0.03,0.03,0.1,0.24,0.54,0.84,1.34,1.68,1.93,2.36,2.62
2015/4/27,0.01,0.02,0.1,0.25,0.54,0.87,1.36,1.69,1.94,2.36,2.61
2015/4/28,0,0.02,0.09,0.24,0.56,0.9,1.39,1.75,2,2.42,2.68
2015/4/29,0,0.01,0.07,0.25,0.56,0.91,1.43,1.8,2.06,2.49,2.76
2015/4/30,0,0.01,0.06,0.24,0.58,0.91,1.43,1.79,2.05,2.49,2.75
2015/5/1,0,0.01,0.05,0.25,0.6,0.97,1.5,1.87,2.12,2.57,2.82
2015/5/4,0.01,0.02,0.08,0.25,0.6,0.96,1.51,1.9,2.16,2.62,2.88
2015/5/5,0.01,0.01,0.08,0.24,0.62,1,1.54,1.92,2.19,2.64,2.9
2015/5/6,0.02,0.02,0.08,0.25,0.65,1.03,1.58,1.97,2.25,2.72,2.98
2015/5/7,0.01,0.01,0.08,0.24,0.63,1.02,1.55,1.93,2.18,2.63,2.9
2015/5/8,0.01,0.01,0.08,0.23,0.59,0.96,1.5,1.89,2.16,2.63,2.9
2015/5/11,0.02,0.02,0.09,0.25,0.62,1.02,1.59,2,2.28,2.76,3.03
2015/5/12,0.01,0.03,0.09,0.25,0.61,1,1.58,2,2.28,2.75,3.02
2015/5/13,0.02,0.02,0.09,0.24,0.59,0.97,1.57,2,2.27,2.79,3.07
2015/5/14,0,0.01,0.08,0.23,0.56,0.91,1.51,1.94,2.23,2.76,3.03
2015/5/15,0.02,0.02,0.09,0.23,0.55,0.9,1.46,1.87,2.14,2.66,2.93
2015/5/18,0.01,0.02,0.08,0.22,0.58,0.95,1.54,1.95,2.23,2.75,3.02
2015/5/19,0.02,0.02,0.07,0.23,0.63,1.01,1.6,2.01,2.27,2.79,3.05
2015/5/20,0.02,0.02,0.08,0.23,0.6,0.98,1.57,1.98,2.26,2.79,3.06
2015/5/21,0.02,0.02,0.07,0.22,0.6,0.95,1.53,1.92,2.19,2.71,2.98
2015/5/22,0.01,0.02,0.08,0.23,0.64,1.01,1.57,1.96,2.21,2.73,2.99
2015/5/25,0.01,0.02,0.08,0.23,0.64,1.01,1.57,1.96,2.21,2.73,2.99
2015/5/26,0.01,0.02,0.09,0.24,0.64,0.99,1.54,1.9,2.14,2.64,2.89
2015/5/27,0.02,0.01,0.09,0.27,0.64,1,1.53,1.9,2.14,2.63,2.88
2015/5/28,0.01,0.01,0.08,0.26,0.62,0.97,1.51,1.89,2.13,2.64,2.89
2015/5/29,0.01,0.01,0.06,0.26,0.61,0.94,1.49,1.86,2.12,2.63,2.88
2015/6/1,0.02,0.02,0.07,0.26,0.64,0.99,1.55,1.93,2.19,2.69,2.94
2015/6/2,0.02,0.01,0.07,0.26,0.64,1.02,1.61,2.01,2.27,2.77,3.02
2015/6/3,0.02,0.02,0.07,0.26,0.69,1.07,1.69,2.12,2.38,2.87,3.11
2015/6/4,0.02,0.02,0.08,0.27,0.66,1.04,1.65,2.05,2.31,2.78,3.03
2015/6/5,0.02,0.03,0.08,0.29,0.73,1.13,1.75,2.16,2.41,2.87,3.11
2015/6/8,0.01,0.02,0.09,0.27,0.7,1.09,1.72,2.13,2.39,2.86,3.11
2015/6/9,0.01,0.02,0.08,0.27,0.72,1.12,1.74,2.16,2.42,2.89,3.15
2015/6/10,0.01,0.02,0.1,0.28,0.75,1.15,1.8,2.22,2.5,2.96,3.22
2015/6/11,0.01,0.01,0.1,0.28,0.73,1.12,1.74,2.14,2.39,2.84,3.11
2015/6/12,0.01,0.02,0.1,0.28,0.74,1.12,1.75,2.15,2.39,2.84,3.1
2015/6/15,0,0.02,0.11,0.28,0.72,1.1,1.71,2.11,2.36,2.83,3.09
2015/6/16,0,0.01,0.11,0.28,0.71,1.08,1.68,2.07,2.32,2.79,3.06
2015/6/17,0,0.01,0.1,0.27,0.67,1.03,1.63,2.05,2.32,2.82,3.09
2015/6/18,0,0.01,0.08,0.26,0.66,1.03,1.65,2.08,2.35,2.86,3.14
2015/6/19,0,0.01,0.05,0.25,0.65,0.99,1.59,1.99,2.26,2.76,3.05
2015/6/22,0,0.01,0.08,0.27,0.68,1.06,1.68,2.1,2.37,2.87,3.16
2015/6/23,0,0.01,0.09,0.3,0.7,1.07,1.71,2.14,2.42,2.92,3.2
2015/6/24,0,0.01,0.08,0.3,0.68,1.06,1.69,2.12,2.38,2.87,3.16
2015/6/25,0,0.01,0.07,0.29,0.68,1.06,1.7,2.14,2.4,2.88,3.16
2015/6/26,0,0.01,0.08,0.29,0.72,1.09,1.75,2.2,2.49,2.98,3.25
2015/6/29,0,0.02,0.11,0.27,0.64,1,1.62,2.05,2.33,2.82,3.09
2015/6/30,0.02,0.01,0.11,0.28,0.64,1.01,1.63,2.07,2.35,2.83,3.11
2015/7/1,0.01,0.01,0.13,0.28,0.69,1.08,1.7,2.14,2.43,2.92,3.2
2015/7/2,0.01,0.01,0.1,0.26,0.64,1.01,1.64,2.09,2.4,2.9,3.19
2015/7/3,0.01,0.01,0.1,0.26,0.64,1.01,1.64,2.09,2.4,2.9,3.19
2015/7/6,0.01,0.02,0.09,0.26,0.6,0.95,1.56,2,2.3,2.78,3.08
2015/7/7,0.02,0.02,0.08,0.25,0.58,0.96,1.55,1.98,2.27,2.74,3.04
2015/7/8,0.02,0.02,0.08,0.24,0.55,0.91,1.5,1.92,2.22,2.69,2.99
2015/7/9,0.02,0.03,0.08,0.25,0.6,0.95,1.58,2.01,2.32,2.8,3.11
2015/7/10,0.01,0.01,0.09,0.28,0.65,1.04,1.68,2.12,2.42,2.91,3.2
2015/7/13,0.02,0.02,0.1,0.28,0.69,1.06,1.71,2.14,2.44,2.92,3.21
2015/7/14,0.03,0.01,0.1,0.27,0.66,1.03,1.67,2.1,2.41,2.9,3.2
2015/7/15,0.03,0.02,0.11,0.28,0.64,1,1.63,2.05,2.36,2.83,3.13
2015/7/16,0.03,0.02,0.1,0.29,0.67,1.05,1.66,2.07,2.36,2.81,3.11
2015/7/17,0.03,0.03,0.11,0.29,0.68,1.05,1.67,2.07,2.34,2.77,3.08
2015/7/20,0.03,0.04,0.14,0.31,0.71,1.09,1.72,2.11,2.38,2.79,3.1
2015/7/21,0.04,0.03,0.13,0.34,0.71,1.07,1.69,2.08,2.35,2.77,3.08
2015/7/22,0.04,0.04,0.13,0.34,0.75,1.08,1.69,2.07,2.33,2.73,3.04
2015/7/23,0.04,0.03,0.13,0.33,0.71,1.06,1.65,2.03,2.28,2.67,2.98
2015/7/24,0.04,0.04,0.14,0.32,0.7,1.04,1.64,2.02,2.27,2.67,2.96
2015/7/27,0.04,0.05,0.15,0.32,0.68,1,1.58,1.96,2.23,2.64,2.93
2015/7/28,0.05,0.05,0.14,0.32,0.69,1.03,1.61,1.99,2.26,2.66,2.96
2015/7/29,0.05,0.06,0.14,0.33,0.7,1.05,1.62,2.02,2.29,2.69,2.99
2015/7/30,0.05,0.07,0.15,0.36,0.72,1.07,1.62,2.02,2.28,2.66,2.96
2015/7/31,0.04,0.08,0.14,0.33,0.67,1,1.54,1.93,2.2,2.61,2.92
2015/8/3,0.03,0.08,0.17,0.33,0.68,0.99,1.52,1.89,2.16,2.55,2.86
2015/8/4,0.05,0.08,0.18,0.37,0.74,1.08,1.6,1.97,2.23,2.59,2.9
2015/8/5,0.05,0.08,0.19,0.38,0.73,1.1,1.65,2.02,2.28,2.64,2.94
2015/8/6,0.04,0.04,0.2,0.35,0.71,1.08,1.62,1.98,2.23,2.59,2.9
2015/8/7,0.03,0.06,0.23,0.38,0.73,1.08,1.59,1.93,2.18,2.52,2.83
2015/8/10,0.03,0.12,0.24,0.4,0.73,1.09,1.62,1.98,2.24,2.58,2.89
2015/8/11,0.06,0.1,0.23,0.37,0.68,1.03,1.53,1.89,2.15,2.5,2.81
2015/8/12,0.06,0.1,0.22,0.37,0.67,1.01,1.52,1.88,2.14,2.52,2.84
2015/8/13,0.06,0.1,0.24,0.4,0.72,1.06,1.58,1.94,2.19,2.54,2.86
2015/8/14,0.04,0.09,0.25,0.41,0.73,1.08,1.61,1.96,2.2,2.54,2.84
2015/8/17,0.03,0.1,0.24,0.4,0.72,1.07,1.58,1.92,2.16,2.51,2.81
2015/8/18,0.05,0.07,0.25,0.42,0.74,1.07,1.6,1.95,2.2,2.56,2.87
2015/8/19,0.05,0.05,0.22,0.39,0.67,0.98,1.5,1.85,2.12,2.49,2.81
2015/8/20,0.01,0.02,0.22,0.39,0.69,1,1.5,1.84,2.09,2.45,2.76
2015/8/21,0.02,0.03,0.21,0.36,0.64,0.95,1.44,1.79,2.05,2.44,2.74
2015/8/24,0.02,0.06,0.2,0.33,0.59,0.9,1.39,1.75,2.01,2.42,2.73
2015/8/25,0.04,0.07,0.19,0.36,0.67,0.98,1.48,1.86,2.12,2.54,2.84
2015/8/26,0.03,0.06,0.2,0.35,0.67,0.98,1.49,1.9,2.18,2.64,2.94
2015/8/27,0.02,0.06,0.22,0.36,0.68,0.99,1.49,1.91,2.18,2.61,2.93
2015/8/28,0.02,0.06,0.25,0.38,0.72,1.04,1.52,1.92,2.19,2.61,2.92
2015/8/31,0,0.08,0.27,0.39,0.74,1.07,1.54,1.94,2.21,2.64,2.95
2015/9/1,0.01,0.03,0.26,0.39,0.7,1.03,1.49,1.89,2.17,2.62,2.93
2015/9/2,0.01,0.03,0.25,0.37,0.72,1.04,1.52,1.92,2.2,2.66,2.97
2015/9/3,0.02,0.02,0.24,0.36,0.71,1,1.49,1.9,2.18,2.64,2.95
2015/9/4,0.02,0.02,0.23,0.36,0.71,1,1.47,1.85,2.13,2.58,2.89
2015/9/7,0.02,0.02,0.23,0.36,0.71,1,1.47,1.85,2.13,2.58,2.89
2015/9/8,0.02,0.06,0.27,0.39,0.74,1.05,1.53,1.92,2.2,2.66,2.97
2015/9/9,0.02,0.03,0.26,0.39,0.75,1.06,1.53,1.91,2.21,2.64,2.96
2015/9/10,0.02,0.02,0.25,0.39,0.75,1.06,1.55,1.93,2.23,2.66,2.98
2015/9/11,0.04,0.04,0.25,0.4,0.71,1.03,1.52,1.89,2.2,2.63,2.95
2015/9/14,0.02,0.07,0.26,0.4,0.73,1.03,1.51,1.88,2.18,2.62,2.95
2015/9/15,0,0.07,0.27,0.47,0.82,1.12,1.61,1.99,2.28,2.73,3.06
2015/9/16,0,0.06,0.24,0.46,0.82,1.13,1.62,2.01,2.3,2.75,3.08
2015/9/17,0,0.01,0.16,0.39,0.7,1,1.5,1.9,2.21,2.69,3.02
2015/9/18,0,0,0.1,0.35,0.69,0.97,1.45,1.83,2.13,2.58,2.93
2015/9/21,0,0.01,0.11,0.36,0.72,1.01,1.51,1.9,2.2,2.67,3.02
2015/9/22,0,0,0.1,0.35,0.69,0.97,1.44,1.83,2.14,2.6,2.94
2015/9/23,0,0.01,0.09,0.34,0.7,1,1.47,1.85,2.16,2.6,2.95
2015/9/24,0,0.01,0.09,0.32,0.67,0.97,1.44,1.84,2.13,2.55,2.91
2015/9/25,0,0,0.07,0.35,0.7,1,1.48,1.87,2.17,2.6,2.96
2015/9/28,0,0.01,0.1,0.34,0.67,0.97,1.42,1.8,2.1,2.51,2.87
2015/9/29,0,0.01,0.09,0.33,0.64,0.92,1.37,1.74,2.05,2.48,2.85
